ra,dec,koi_gmag,koi_disposition,koi_count,koi_num_transits,koi_max_mult_ev,koi_bin_oedp_sig,koi_ldm_coeff1,koi_model_snr,koi_prad,koi_impact,koi_duration,koi_depth,koi_dor,koi_incl,koi_teq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_tce_plnt_num,koi_time0,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_srho
294.23007,48.204479,15.594,0,1,40.0,38.67326,0.6757,0.4603,66.7,3.29,0.711,19.718,696.6,9.86,85.86,584.0,5490.0,4.263,0.14,1.167,0.911,0.002,0.23,0.26,-0.00016,-0.00024,0.1,-0.18,0.21,1.0,2454976.667,0,0,0,0,27.6,0.01541
297.41965,43.876579,15.659,0,1,42.0,113.60447,0.3053,0.3928,113.6,11.18,0.985,2.6364,4229.4,45.3,88.76,575.0,5654.0,4.387,-0.1,0.998,0.886,0.0,-0.39,0.63,0.00149,-0.00363,-0.23,0.809,0.841,1.0,2454991.3,0,0,0,0,25.83,1.77026
297.72427,43.527431,15.106,0,3,1469.0,8.393401,0.8893,0.4341,11.6,0.62,0.018,1.404,49.8,4.639,89.78,1780.0,5440.0,4.438,-0.24,0.885,0.782,0.882,-0.4,-0.1,1.4e-05,-1.4e-05,0.17,-0.15,0.23,3.0,2454964.741,0,0,0,0,2368.31,2.67252
294.99023,39.346378,12.533,0,1,50.0,14.364524,0.9243,0.6019,13.6,0.66,0.05,3.172,100.4,50.16,89.94,487.0,4830.0,4.605,-0.34,0.676,0.671,0.0,-2.24,-2.38,0.000151,0.000132,-1.2,-1.19,1.69,1.0,2454965.012,0,0,0,0,13.35,5.59139
293.54889,42.888859,12.112,0,1,19.0,33.151352,0.5547,0.2374,46.8,3.51,0.672,8.262,266.6,49.2,89.22,765.0,7732.0,4.075,0.07,2.022,1.774,0.0,-0.21,-0.77,5.9e-05,0.000243,-0.18,-0.05,0.19,1.0,2455001.784,0,0,0,0,80.97,0.46244
301.4693,44.159649,16.696,0,2,251.0,12.3103895,0.9914,0.6441,14.9,2.36,0.885,1.684,592.2,6.2,81.79,1014.0,4748.0,4.526,0.3,0.797,0.776,0.6,1.75,-0.86,7e-05,-0.00019,-0.66,2.9,3.0,1.0,2454965.757,0,0,0,0,249.92,0.66967
301.08572,44.380192,16.391,0,1,73.0,14.985963,0.2817,0.3282,17.6,1.72,0.007,2.424,865.4,62.07,89.99,513.0,5214.0,4.673,-1.46,0.587,0.591,,1.53,0.45,,-0.0004,0.12,0.02,0.12,1.0,2454974.371,0,0,0,0,16.42,12.29491
290.25964,45.388409,15.708,0,1,116.0,16.90332,0.2428,0.3928,19.5,1.4,0.195,3.989,278.4,21.58,89.48,744.0,5705.0,4.556,-0.14,0.844,0.936,0.139,-0.53,0.73,0.00024,-0.00017,0.73,0.61,0.95,1.0,2454971.136,0,0,0,0,72.67,1.48762
286.0528,50.256592,16.067,0,1,78.0,111.8672,0.1814,0.5396,102.8,7.25,0.929,1.6866,5879.1,33.24,88.4,601.0,4976.0,4.577,-0.38,0.701,0.677,0.287,-0.19,0.49,-0.0001,-0.0006,0.051,-0.052,0.073,1.0,2454965.683,0,0,0,0,30.84,4.31857
296.0882,47.142891,16.328,0,1,14.0,251.88191,0.3654,0.3888,277.2,13.83,0.993,9.2639,15860.2,46.11,88.77,329.0,5286.0,4.627,-1.04,0.636,0.626,0.102,-0.277,-0.179,0.0003,0.0009,0.025,0.004,0.026,1.0,2454995.936,0,0,0,0,2.78,0.26862
295.08423,50.114609,16.742,0,1,1554.0,27.5152,0.9865,0.5684,35.1,1.63,0.548,1.3008,492.9,4.31,82.69,1455.0,4932.0,4.618,0.0,0.718,0.808,0.0,0.15,0.99,-0.00018,0.00076,0.04,-6.02,6.02,1.0,2455011.354,0,0,0,0,1066.37,2.14991
296.84616,40.138611,14.813,0,2,186.0,13.640516,0.017,0.3342,23.7,1.38,0.072,2.8005,221.6,19.69,89.79,956.0,6086.0,4.511,-0.26,0.921,1.003,0.035,-1.81,0.49,0.00022,-0.0001,0.0,0.33,0.33,2.0,2454964.753,0,0,0,0,197.05,2.83713
297.91687,46.96513,15.131,0,4,184.0,9.252706,0.2187,0.4288,17.6,1.98,0.398,4.5813,134.4,9.06,87.48,1285.0,5597.0,3.963,-0.18,1.699,0.969,0.354,-0.9,0.7,6e-05,-8e-05,-0.21,-1.65,1.67,3.0,2454965.634,0,0,0,0,642.83,0.41384
298.29495,48.775459,14.647,0,3,153.0,8.8826475,,0.3652,9.8,1.02,0.3288,3.67,89.2,12.58,88.24,1046.0,5900.0,4.363,-0.12,1.07,0.964,0.324,1.2,0.6,-4e-05,-0.00011,1.2,2.1,2.4,3.0,2454966.862,0,0,0,0,283.31,0.94065
295.43436,42.166321,16.554,0,1,200.0,33.80947,0.7283,0.4526,30.8,3.28,0.473,1.795,1407.3,21.94,88.76,930.0,5610.0,4.551,0.0,0.858,0.953,0.0,-0.683,1.44,-0.00031,0.00113,1.43,-3.73,3.99,1.0,2454964.867,0,0,0,0,176.53,6.37479
293.62592,39.50631,15.525,0,1,17.0,13.279842,0.0943,0.3729,15.4,3.62,0.946,5.995,494.0,26.0,87.91,570.0,6074.0,4.284,0.16,1.292,1.173,0.958,-0.3,0.4,5e-05,-7e-05,-0.31,0.36,0.48,1.0,2454978.319,0,0,0,0,24.98,0.1256
290.12857,40.021832,15.957,0,1,8.0,59.845184,0.7808,0.4641,66.5,11.32,0.921,5.774,4347.0,137.19,89.62,353.0,5393.0,4.132,0.18,1.37,0.926,0.0,0.0,-0.52,0.0009,0.0017,0.17,-0.23,0.29,1.0,2454979.918,0,0,0,0,3.66,1.40518
