ra,dec,koi_gmag,koi_disposition,koi_count,koi_num_transits,koi_max_mult_ev,koi_bin_oedp_sig,koi_ldm_coeff1,koi_model_snr,koi_prad,koi_impact,koi_duration,koi_depth,koi_dor,koi_incl,koi_teq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_tce_plnt_num,koi_time0,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_srho
291.93616,49.253979,15.977,1,1,323.0,94.70979,0.6043,0.3288,128.6,4.43,0.597,3.1744,1487.3,8.45,85.95,1243.0,6174.0,4.417,0.1,1.103,1.162,0.431,0.07,0.07,-0.00012,-9e-05,-0.034,0.009,0.035,1.0,2455002.753,0,0,0,0,565.35,0.67162
297.01547,49.225288,15.636,1,1,474.0,1328.3038,0.7998,0.4603,1406.8,12.21,0.105,2.50587,16813.7,9.571,89.37,1219.0,5532.0,4.452,0.14,0.955,0.941,0.0,0.3386,0.317,-0.00034,0.00069,-0.024,-0.007,0.025,1.0,2455003.968,0,0,0,0,521.13,2.09079
284.17233,49.360722,16.453,-1,1,31.0,193.4089,0.0299,0.5508,236.1,7.34,0.812,14.561,8503.7,13.12,86.45,430.0,5040.0,4.628,-0.24,0.705,0.782,0.0,3.101,0.336,-0.0247,-0.0016,3.254,0.163,3.258,1.0,2455019.676,0,1,1,0,8.11,0.0371
291.62241,50.61824,15.735,1,1,360.0,31.786789,0.4053,0.3511,35.6,1.89,0.151,2.6557,426.7,10.71,89.19,1147.0,5880.0,4.518,-0.06,0.917,1.01,0.255,-0.27,0.07,0.00017,0.00012,-0.27,0.05,0.27,1.0,2455003.366,0,0,0,0,408.99,1.70798
295.81616,51.121738,15.912,1,3,302.0,58.259056,0.52,0.4191,71.1,3.25,0.405,3.15,1010.9,10.19,87.72,1104.0,5714.0,4.428,0.16,1.015,1.007,0.016,0.03,0.82,0.0005,-0.0001,-0.097,0.03,0.1,1.0,2455004.015,0,0,0,0,351.23,1.01996
295.81616,51.121738,15.912,1,3,109.0,29.930164,0.2364,0.4191,37.9,3.95,0.911,2.6255,1023.5,16.31,86.8,806.0,5714.0,4.428,0.16,1.015,1.007,0.372,0.93,0.88,-0.00041,-0.00017,0.09,-0.06,0.11,2.0,2454966.85,0,0,0,0,99.68,0.63438
289.39972,51.25032,15.956,1,1,51.0,41.269753,0.2735,0.5086,48.2,3.07,0.602,3.573,1510.9,47.7,89.28,489.0,5129.0,4.595,0.02,0.763,0.846,0.592,0.09,0.77,0.00037,3e-05,-0.18,0.2,0.27,1.0,2455009.055,0,0,0,0,13.49,2.93923
300.86398,44.337551,13.293,1,4,101.0,76.76887,0.6645,0.3928,88.4,2.64,0.866,3.3539,511.7,16.93,87.07,785.0,5854.0,4.406,-0.12,1.012,0.951,0.044,0.61,0.0,-4.4e-05,0.000108,0.26,0.02,0.26,1.0,2454969.279,0,0,0,0,89.61,0.49865
287.88733,46.276241,13.111,1,3,181.0,39.793564,0.7788,0.3928,47.1,1.79,0.898,3.0014,192.4,8.62,84.02,997.0,5779.0,4.339,-0.06,1.087,0.941,0.009,0.29,-0.73,-6.9e-05,6.1e-05,0.03,0.04,0.06,2.0,2454972.005,0,0,0,0,233.31,0.23879
288.98682,49.733742,15.712,-1,1,180.0,1044.7283,0.0786,0.3342,835.6,15.03,0.137,2.3078,24446.2,27.99,89.72,967.0,6108.0,4.469,-0.3,0.956,0.981,0.0,-0.054,-0.201,0.0128,0.0041,-0.068,-0.035,0.076,1.0,2455002.972,0,1,0,0,206.78,7.48712
286.73804,49.97575,16.328,1,3,65.0,28.122635,0.7202,0.6834,28.9,2.0,0.001,3.0249,1127.1,42.62,90.0,433.0,4126.0,4.661,0.04,0.615,0.633,0.204,-0.67,0.28,0.0006,-3e-05,0.02,-0.02,0.03,2.0,2455005.728,0,0,0,0,8.35,5.4538
286.73804,49.97575,16.328,1,3,135.0,41.450657,0.5008,0.6834,38.7,2.16,0.041,2.0805,1306.1,29.84,89.92,553.0,4126.0,4.661,0.04,0.615,0.633,0.588,-0.34,0.27,0.00032,-2e-05,0.06,-0.03,0.07,1.0,2455009.376,0,0,0,0,22.18,8.09685
286.73804,49.97575,16.328,1,3,27.0,19.803268,0.6219,0.6834,21.7,1.99,0.028,4.007,1122.3,71.53,89.98,332.0,4126.0,4.661,0.04,0.615,0.633,0.01,0.04,-0.58,-0.00014,0.00084,-0.01,0.17,0.17,3.0,2454984.601,0,0,0,0,2.88,5.21237
290.78574,50.054119,16.107,1,1,357.0,360.1958,0.6769,0.4415,345.2,6.02,0.558,2.683,5226.5,9.7,86.7,1023.0,5497.0,4.577,-0.1,0.809,0.907,0.0,0.083,-0.217,0.00057,-0.00136,-0.072,0.041,0.083,1.0,2455004.793,0,0,0,0,258.34,1.24118
285.17621,50.149818,16.369,1,1,472.0,30.578562,0.5576,0.6215,38.9,1.99,0.915,1.1196,821.7,7.38,82.88,822.0,4149.0,4.698,-0.32,0.564,0.578,0.0,-0.06,0.46,-0.00024,-0.00057,0.19,0.27,0.33,1.0,2455003.679,0,0,0,0,107.6,1.50915
289.23553,50.241001,16.096,-1,1,117.0,691.1691,0.8796,0.3556,745.2,11.23,0.324,6.5036,14488.8,13.012,88.57,833.0,5746.0,4.393,-0.54,0.924,0.77,0.553,0.091,-0.188,-0.00025,0.0,-0.011,0.004,0.012,1.0,2455010.197,0,1,0,0,113.94,0.38489
293.83331,50.23035,16.11,1,2,578.0,63.58795,0.6818,0.5746,82.4,2.34,0.28,1.9982,971.2,8.86,88.19,1070.0,5005.0,4.595,0.14,0.765,0.85,0.0,0.16,-0.45,6e-05,0.00045,0.027,0.05,0.061,1.0,2455004.762,0,0,0,0,311.16,2.41093
296.22195,50.28722,17.501,1,1,115.0,62.376225,0.6552,0.3156,71.0,2.65,0.679,2.5237,2804.5,28.2,88.62,396.0,3688.0,4.79,0.0,0.473,0.503,0.178,0.63,0.92,-0.00029,0.0006,0.059,-0.03,0.066,1.0,2455013.395,0,0,0,0,5.82,3.14915
290.09805,50.321609,15.797,1,1,205.0,210.22159,0.5611,0.3342,221.1,5.31,0.39,4.3084,2793.3,11.37,88.03,1015.0,5992.0,4.415,-0.32,0.989,0.927,0.013,0.016,-0.099,0.00044,-7e-05,-0.033,-0.04,0.052,1.0,2455006.634,0,0,0,0,251.38,0.64392
295.45529,50.49456,15.69,1,1,188.0,234.95987,0.1322,0.4695,312.1,4.86,0.547,7.5377,3001.0,6.66,85.29,833.0,5485.0,4.556,0.21,0.867,0.986,0.0,0.234,0.323,0.00066,0.00064,-0.054,-0.065,0.085,1.0,2455002.994,0,0,0,0,113.64,0.10578
